team,team_recent_runs,team_recent_wickets,team_recent_strike_rate,team_recent_economy,RTMI
Royal Challengers Bengaluru,1.0,1.0,1.0,0.487,0.851
Sunrisers Hyderabad,0.949,0.619,0.653,0.509,0.645
Punjab Kings,0.927,0.286,0.832,0.369,0.586
Gujarat Titans,0.724,0.714,0.488,0.41,0.56
Rajasthan Royals,0.36,0.952,0.778,0.28,0.557
Delhi Capitals,0.538,0.571,0.432,0.262,0.447
Chennai Super Kings,0.647,0.429,0.399,0.583,0.409
Mumbai Indians,0.629,0.0,0.673,1.0,0.286
Lucknow Super Giants,0.145,0.333,0.0,0.0,0.158
Kolkata Knight Riders,0.0,0.429,0.404,0.849,0.124
